Order NO,Order Date,Countries,Pie Flavor,Quantity,Price,Amount Sold,Slice Or Whole Pie,Pre-Order/In-Store Purchase,Organic?,,Pie Flavor,Quantity,,
10039,01/11/2021,Nigeria,Apple,3," 3,270 ",9810.00,Slice,In-Store,Yes,,,,,
10040,01/11/2021,Rwanda,Apple,3," 2,889 ",8667.00,Whole,Pre-Order,Yes,,,,,
10041,01/11/2021,Sao Tome & Principe,Apple,3," 4,192 ",12576.00,Whole,Pre-Order,Yes,,,,,
10042,01/11/2021,Senegal,Apple,4," 7,544 ",30176.00,Slice,Pre-Order,Yes,,,,,
10043,01/11/2021,Seychelles,Cherry,4," 1,920 ",7680.00,Whole,Pre-Order,Yes,,,,,
10044,01/11/2021,Sierra Leone,Fudge,4," 4,326 ",17304.00,Whole,In-Store,Yes,,,,,
10045,01/11/2021,Somalia,Pumpkin,1," 1,972 ",1972.00,Whole,In-Store,Yes,,,,,
10046,01/11/2021,South Africa,Strawberry Rhubarb,3," 9,221 ",27663.00,Whole,Pre-Order,Yes,,,,,
10047,18/11/2020,South Sudan,Strawberry Rhubarb,1," 8,978 ",8978.00,Whole,Pre-Order,Yes,,,,,
10048,18/11/2020,Sudan,Cherry,4," 2,920 ",11680.00,Slice,Pre-Order,Yes,,,,,
10049,18/11/2020,Tanzania,Cherry,4," 4,667 ",18668.00,Slice,Pre-Order,Yes,,,,,
10050,18/11/2020,Togo,Apple,4," 8,987 ",35948.00,Whole,Pre-Order,Yes,,,,,
10051,18/11/2020,Tunisia,Cherry,3," 3,207 ",9621.00,Whole,Pre-Order,Yes,,,,,
10052,18/11/2020,Uganda,Strawberry Rhubarb,1," 2,946 ",2946.00,Slice,Pre-Order,Yes,,,,,
10053,18/11/2021,Zambia,Pumpkin,2," 9,527 ",19054.00,Whole,Pre-Order,Yes,,,,,
10054,18/11/2021,Zimbabwe,Fudge,4," 4,974 ",19896.00,Whole,Pre-Order,Yes,,,,,
10055,18/11/2021,Algeria,Pumpkin,5," 9,033 ",45165.00,Whole,Pre-Order,Yes,,,,,
10056,18/11/2021,Angola,Pumpkin,3," 6,056 ",18168.00,Whole,In-Store,Yes,,,,,
10057,18/11/2021,Benin,Blueberry,2," 2,448 ",4896.00,Whole,Pre-Order,Yes,,,,,
10058,18/11/2021,Botswana,Fudge,3," 4,732 ",14196.00,Slice,Pre-Order,Yes,,,,,
10059,18/11/2021,Burkina Faso,Fudge,1," 7,861 ",7861.00,Whole,Pre-Order,Yes,,,,,
10060,18/11/2021,Burundi,Fudge,2," 6,919 ",13838.00,Slice,Pre-Order,Yes,,,,,
10061,18/11/2021,Cabo Verde,Blueberry,4," 4,201 ",16804.00,Whole,Pre-Order,Yes,,,,,
10062,18/11/2021,Cameroon,Pumpkin,1," 3,243 ",3243.00,Whole,In-Store,Yes,,,,,
10063,18/11/2021,Central African Republic,Fudge,2," 9,697 ",19394.00,Whole,In-Store,Yes,,,,,
10064,18/11/2021,Chad,Fudge,3," 8,543 ",25629.00,Whole,In-Store,Yes,,,,,
10065,18/11/2021,Comoros,Apple,5," 6,205 ",31025.00,Whole,Pre-Order,Yes,,,,,
10066,18/11/2021,Congo,Apple,1," 4,469 ",4469.00,Whole,Pre-Order,Yes,,,,,
10067,18/11/2021,Côte d'Ivoire,Blueberry,3," 4,756 ",14268.00,Whole,In-Store,Yes,,,,,
10068,18/11/2021,Djibouti,Apple,3," 5,773 ",17319.00,Whole,Pre-Order,Yes,,,,,
10069,01/07/2021,DR Congo,Strawberry Rhubarb,2," 6,820 ",13640.00,Slice,In-Store,Yes,,,,,
10070,01/07/2021,Egypt,Blueberry,1," 2,365 ",2365.00,Whole,Pre-Order,Yes,,,,,
10071,01/07/2021,Equatorial Guinea,Apple,5," 4,706 ",23530.00,Whole,Pre-Order,Yes,,,,,
10072,01/07/2021,Eritrea,Strawberry Rhubarb,4," 5,943 ",23772.00,Whole,In-Store,Yes,,,,,
10073,01/07/2021,Eswatini,Other,2," 3,472 ",6944.00,Whole,Pre-Order,Yes,,,,,
10074,01/07/2021,Ethiopia,Strawberry Rhubarb,5," 8,057 ",40285.00,Slice,Pre-Order,Yes,,,,,
10075,01/07/2021,Gabon,Apple,5," 4,207 ",21035.00,Slice,In-Store,Yes,,,,,
10076,01/07/2021,Gambia,Blueberry,5," 5,671 ",28355.00,Whole,Pre-Order,Yes,,,,,
10077,01/07/2021,Ghana,Other,5," 2,956 ",14780.00,Slice,In-Store,Yes,,,,,
10078,25/09/2021,Guinea,Apple,2," 1,718 ",3436.00,Whole,Pre-Order,No,,,,,
10079,08/02/2020,Guinea-Bissau,Strawberry Rhubarb,1," 9,492 ",9492.00,Whole,Pre-Order,Yes,,,,,
10080,08/02/2020,Kenya,Strawberry Rhubarb,2," 4,609 ",9218.00,Slice,Pre-Order,No,,,,,
10081,08/02/2020,Lesotho,Strawberry Rhubarb,5," 8,293 ",41465.00,Whole,In-Store,Yes,,,,,
10082,08/02/2020,Liberia,Strawberry Rhubarb,4," 4,620 ",18480.00,Whole,Pre-Order,No,,,,,
10083,08/02/2020,Libya,Strawberry Rhubarb,5," 9,877 ",49385.00,Slice,Pre-Order,No,,,,,
10084,08/02/2020,Madagascar,Strawberry Rhubarb,3," 6,595 ",19785.00,Whole,In-Store,Yes,,,,,
10085,08/02/2020,Malawi,Strawberry Rhubarb,4," 2,823 ",11292.00,Slice,In-Store,No,,,,,
10086,08/02/2020,Mali,Strawberry Rhubarb,5," 3,448 ",17240.00,Whole,Pre-Order,Yes,,,,,
10087,08/02/2020,Mauritania,Strawberry Rhubarb,5," 2,859 ",14295.00,Whole,In-Store,No,,,,,
10088,08/02/2020,Mauritius,Strawberry Rhubarb,2," 8,013 ",16026.00,Slice,Pre-Order,No,,,,,
10089,08/02/2020,Morocco,Strawberry Rhubarb,4," 2,107 ",8428.00,Slice,In-Store,No,,,,,
10090,24/12/2020,Mozambique,Apple,3," 3,371 ",10113.00,Whole,Pre-Order,No,,,,,
10091,24/12/2020,Namibia,Apple,5," 5,855 ",29275.00,Whole,Pre-Order,No,,,,,
10092,24/12/2020,Niger,Apple,3," 1,322 ",3966.00,Slice,In-Store,No,,,,,
10093,24/12/2020,Nigeria,Apple,4," 5,667 ",22668.00,Whole,In-Store,Yes,,,,,
10094,24/12/2020,Rwanda,Apple,1," 2,987 ",2987.00,Slice,Pre-Order,No,,,,,
10095,25/06/2021,Sao Tome & Principe,Apple,1," 1,221 ",1221.00,Whole,In-Store,Yes,,,,,
10096,25/06/2021,Senegal,Strawberry Rhubarb,3," 6,389 ",19167.00,Whole,Pre-Order,No,,,,,
10097,25/06/2021,Seychelles,Apple,5," 3,446 ",17230.00,Whole,Pre-Order,No,,,,,
10098,25/06/2021,Sierra Leone,Apple,2," 3,864 ",7728.00,Whole,Pre-Order,Yes,,,,,
10099,25/06/2021,Somalia,Apple,3," 8,789 ",26367.00,Slice,Pre-Order,Yes,,,,,
10100,25/06/2021,South Africa,Apple,3," 2,589 ",7767.00,Slice,In-Store,No,,,,,
10101,25/06/2021,South Sudan,Apple,1," 1,234 ",1234.00,Slice,Pre-Order,Yes,,,,,
10102,25/06/2021,Sudan,Apple,5," 8,800 ",44000.00,Whole,Pre-Order,No,,,,,
10103,15/11/2019,Tanzania,Apple,4," 5,380 ",21520.00,Whole,Pre-Order,Yes,,,,,
10104,15/11/2019,Togo,Strawberry Rhubarb,1," 2,956 ",2956.00,Slice,In-Store,Yes,,,,,
10105,15/11/2019,Tunisia,Pumpkin,3," 6,973 ",20919.00,Whole,In-Store,Yes,,,,,
10106,15/11/2019,Uganda,Apple,2," 4,082 ",8164.00,Whole,In-Store,No,,,,,
10107,15/11/2019,Zambia,Pumpkin,5," 8,077 ",40385.00,Slice,Pre-Order,No,,,,,
10108,15/11/2019,Zimbabwe,Pumpkin,5," 2,400 ",12000.00,Whole,Pre-Order,No,,,,,
10109,15/11/2019,Algeria,Pumpkin,3," 7,344 ",22032.00,Whole,In-Store,No,,,,,
10110,15/11/2019,Angola,Pumpkin,2," 8,789 ",17578.00,Whole,In-Store,No,,,,,
10111,15/11/2019,Benin,Pumpkin,3," 7,397 ",22191.00,Whole,In-Store,Yes,,,,,
10112,10/04/2020,Botswana,Cherry,5," 2,899 ",14495.00,Whole,Pre-Order,Yes,,,,,
10113,10/11/2020,Burkina Faso,Apple,1," 3,377 ",3377.00,Whole,In-Store,No,,,,,
10114,10/04/2020,Burundi,Cherry,1," 7,373 ",7373.00,Whole,Pre-Order,No,,,,,
10115,10/04/2020,Cabo Verde,Cherry,2," 5,475 ",10950.00,Whole,In-Store,No,,,,,
10116,10/11/2020,Cameroon,Apple,1," 8,351 ",8351.00,Whole,Pre-Order,No,,,,,
10117,10/04/2020,Central African Republic,Cherry,3," 1,918 ",5754.00,Slice,In-Store,Yes,,,,,
10118,10/04/2020,Chad,Cherry,2," 2,015 ",4030.00,Slice,In-Store,No,,,,,
10119,10/04/2020,Comoros,Cherry,5," 6,024 ",30120.00,Whole,Pre-Order,Yes,,,,,
10120,10/11/2020,Congo,Apple,1," 6,813 ",6813.00,Whole,Pre-Order,No,,,,,
10121,10/04/2020,Côte d'Ivoire,Cherry,4," 3,399 ",13596.00,Slice,Pre-Order,No,,,,,
10122,10/11/2020,Djibouti,Pumpkin,4," 7,801 ",31204.00,Slice,Pre-Order,No,,,,,
10123,10/04/2020,DR Congo,Cherry,4," 2,547 ",10188.00,Slice,Pre-Order,Yes,,,,,
10124,08/05/2021,Egypt,Fudge,2," 2,308 ",4616.00,Whole,Pre-Order,Yes,,,,,
10125,08/05/2021,Equatorial Guinea,Apple,2," 6,492 ",12984.00,Slice,Pre-Order,No,,,,,
10126,08/05/2021,Eritrea,Fudge,1," 9,820 ",9820.00,Whole,In-Store,No,,,,,
10127,08/05/2021,Eswatini,Apple,2," 5,737 ",11474.00,Slice,In-Store,No,,,,,
10128,08/05/2021,Ethiopia,Fudge,4," 4,853 ",19412.00,Whole,In-Store,No,,,,,
10129,14/02/2020,Gabon,Apple,4," 3,286 ",13144.00,Whole,In-Store,Yes,,,,,
10130,14/02/2020,Gambia,Strawberry Rhubarb,1," 8,586 ",8586.00,Slice,In-Store,Yes,,,,,
10131,14/02/2020,Ghana,Strawberry Rhubarb,5," 3,009 ",15045.00,Slice,Pre-Order,No,,,,,
10132,14/02/2020,Guinea,Strawberry Rhubarb,4," 3,878 ",15512.00,Whole,Pre-Order,Yes,,,,,
10133,14/02/2020,Guinea-Bissau,Strawberry Rhubarb,1," 1,168 ",1168.00,Slice,Pre-Order,Yes,,,,,
10134,14/02/2020,Kenya,Strawberry Rhubarb,2," 6,053 ",12106.00,Slice,Pre-Order,Yes,,,,,
10135,14/02/2020,Lesotho,Strawberry Rhubarb,3," 4,446 ",13338.00,Whole,In-Store,Yes,,,,,
10136,14/02/2020,Liberia,Strawberry Rhubarb,4," 9,026 ",36104.00,Whole,Pre-Order,No,,,,,
10137,14/02/2020,Libya,Strawberry Rhubarb,2," 4,771 ",9542.00,Slice,In-Store,Yes,,,,,
10138,14/02/2020,Madagascar,Strawberry Rhubarb,3," 1,874 ",5622.00,Whole,Pre-Order,No,,,,,
10139,14/02/2020,Malawi,Strawberry Rhubarb,2," 6,412 ",12824.00,Slice,Pre-Order,No,,,,,
10140,14/02/2020,Mali,Strawberry Rhubarb,2," 4,010 ",8020.00,Whole,Pre-Order,No,,,,,
10141,14/02/2020,Mauritania,Strawberry Rhubarb,2," 2,333 ",4666.00,Whole,Pre-Order,No,,,,,
10142,14/02/2020,Mauritius,Strawberry Rhubarb,5," 2,690 ",13450.00,Slice,Pre-Order,Yes,,,,,
10143,14/10/2020,Morocco,Apple,4," 6,184 ",24736.00,Slice,In-Store,Yes,,,,,
10144,14/10/2020,Mozambique,Apple,2," 9,173 ",18346.00,Whole,Pre-Order,No,,,,,
10145,14/10/2020,Namibia,Apple,1," 4,922 ",4922.00,Slice,In-Store,No,,,,,
10146,14/10/2020,Niger,Apple,3," 7,624 ",22872.00,Slice,In-Store,No,,,,,
10147,14/10/2020,Nigeria,Apple,4," 4,386 ",17544.00,Whole,In-Store,Yes,,,,,
10148,14/10/2020,Rwanda,Pumpkin,2," 2,126 ",4252.00,Slice,In-Store,No,,,,,
10149,14/10/2020,Sao Tome & Principe,Pumpkin,5," 8,026 ",40130.00,Slice,Pre-Order,Yes,,,,,
10150,14/10/2020,Senegal,Pumpkin,2," 6,984 ",13968.00,Slice,Pre-Order,No,,,,,
10151,14/10/2020,Seychelles,Pumpkin,5," 9,506 ",47530.00,Slice,In-Store,Yes,,,,,
10152,14/10/2020,Sierra Leone,Pumpkin,5," 2,996 ",14980.00,Slice,Pre-Order,No,,,,,
10153,14/10/2020,Somalia,Pumpkin,2," 6,632 ",13264.00,Slice,Pre-Order,No,,,,,
10154,14/10/2020,South Africa,Pumpkin,3," 5,391 ",16173.00,Slice,In-Store,Yes,,,,,
10155,14/10/2020,South Sudan,Pumpkin,4," 7,491 ",29964.00,Whole,Pre-Order,No,,,,,
10156,25/06/2021,Sudan,Cherry,3," 9,064 ",27192.00,Whole,In-Store,Yes,,,,,
10157,25/06/2021,Tanzania,Apple,4," 8,818 ",35272.00,Slice,In-Store,No,,,,,
10158,25/06/2021,Togo,Cherry,4," 8,119 ",32476.00,Whole,Pre-Order,Yes,,,,,
10159,25/06/2021,Tunisia,Strawberry Rhubarb,2," 1,286 ",2572.00,Slice,In-Store,Yes,,,,,
10160,25/06/2021,Uganda,Cherry,4," 3,565 ",14260.00,Slice,Pre-Order,Yes,,,,,
10161,25/06/2021,Zambia,Cherry,2," 1,307 ",2614.00,Slice,In-Store,Yes,,,,,
10162,25/06/2021,Zimbabwe,Cherry,5," 1,652 ",8260.00,Slice,Pre-Order,No,,,,,
10163,25/06/2021,Algeria,Cherry,2," 8,105 ",16210.00,Slice,Pre-Order,No,,,,,
10164,25/06/2021,Angola,Strawberry Rhubarb,5," 9,829 ",49145.00,Slice,In-Store,No,,,,,
10165,12/08/2021,Benin,Apple,2," 4,790 ",9580.00,Whole,Pre-Order,Yes,,,,,
10166,12/08/2021,Botswana,Apple,4," 8,155 ",32620.00,Whole,In-Store,No,,,,,
10167,12/08/2021,Burkina Faso,Apple,2," 3,180 ",6360.00,Slice,In-Store,Yes,,,,,
10168,12/08/2021,Burundi,Strawberry Rhubarb,2," 5,150 ",10300.00,Whole,Pre-Order,Yes,,,,,
10169,12/08/2021,Cabo Verde,Cherry,5," 6,934 ",34670.00,Whole,Pre-Order,No,,,,,
10170,12/08/2021,Cameroon,Apple,3," 8,695 ",26085.00,Whole,In-Store,Yes,,,,,
10171,12/08/2021,Central African Republic,Strawberry Rhubarb,4," 4,882 ",19528.00,Slice,In-Store,No,,,,,
10172,12/08/2021,Chad,Apple,4," 2,930 ",11720.00,Whole,Pre-Order,No,,,,,
10173,12/08/2021,Comoros,Cherry,1," 4,517 ",4517.00,Slice,In-Store,Yes,,,,,
10174,12/08/2021,Congo,Cherry,4," 7,085 ",28340.00,Slice,Pre-Order,Yes,,,,,
10175,07/12/2019,Côte d'Ivoire,Apple,1," 4,878 ",4878.00,Whole,In-Store,Yes,,,,,
10176,07/12/2019,Djibouti,Apple,4," 5,144 ",20576.00,Whole,In-Store,No,,,,,
10177,07/12/2019,DR Congo,Pumpkin,5," 7,603 ",38015.00,Whole,In-Store,Yes,,,,,
10178,12/04/2020,Egypt,Fudge,4," 5,159 ",20636.00,Slice,Pre-Order,Yes,,,,,
10179,12/04/2020,Equatorial Guinea,Fudge,5," 8,152 ",40760.00,Whole,In-Store,Yes,,,,,
10180,12/04/2020,Eritrea,Fudge,3," 7,274 ",21822.00,Whole,Pre-Order,No,,,,,
10181,12/04/2020,Eswatini,Fudge,1," 3,242 ",3242.00,Whole,In-Store,Yes,,,,,
10182,12/04/2020,Ethiopia,Fudge,4," 1,354 ",5416.00,Slice,In-Store,No,,,,,
10183,12/04/2020,Gabon,Apple,3," 8,064 ",24192.00,Whole,In-Store,No,,,,,
10184,12/04/2020,Gambia,Fudge,3," 4,306 ",12918.00,Slice,Pre-Order,Yes,,,,,
10185,12/04/2020,Ghana,Blueberry,3," 3,965 ",11895.00,Slice,In-Store,Yes,,,,,
10186,12/04/2020,Guinea,Apple,3," 6,523 ",19569.00,Whole,In-Store,No,,,,,
10187,12/04/2020,Guinea-Bissau,Blueberry,1," 4,938 ",4938.00,Slice,In-Store,Yes,,,,,
10188,12/04/2020,Kenya,Apple,5," 2,069 ",10345.00,Slice,Pre-Order,Yes,,,,,
10189,12/11/2020,Lesotho,Pumpkin,1," 6,320 ",6320.00,Slice,In-Store,Yes,,,,,
10190,31/08/2021,Liberia,Blueberry,1," 7,094 ",7094.00,Whole,In-Store,No,,,,,
10191,31/08/2021,Libya,Blueberry,4," 9,617 ",38468.00,Whole,Pre-Order,No,,,,,
10192,31/08/2021,Madagascar,Blueberry,3," 8,902 ",26706.00,Whole,In-Store,No,,,,,
10193,31/08/2021,Malawi,Blueberry,2," 2,538 ",5076.00,Whole,In-Store,Yes,,,,,
10194,31/08/2021,Mali,Blueberry,1," 7,984 ",7984.00,Slice,Pre-Order,No,,,,,
10195,06/08/2019,Mauritania,Strawberry Rhubarb,2," 3,920 ",7840.00,Whole,Pre-Order,Yes,,,,,
10196,06/08/2019,Mauritius,Strawberry Rhubarb,1," 5,755 ",5755.00,Whole,In-Store,No,,,,,
10197,06/08/2019,Morocco,Strawberry Rhubarb,3," 1,503 ",4509.00,Whole,Pre-Order,No,,,,,
10198,06/08/2019,Mozambique,Strawberry Rhubarb,5," 8,207 ",41035.00,Slice,Pre-Order,No,,,,,
10199,06/08/2019,Namibia,Strawberry Rhubarb,3," 7,969 ",23907.00,Whole,Pre-Order,No,,,,,
10200,06/08/2019,Niger,Strawberry Rhubarb,4," 6,922 ",27688.00,Slice,Pre-Order,Yes,,,,,
10201,06/08/2019,Nigeria,Strawberry Rhubarb,3," 7,304 ",21912.00,Whole,Pre-Order,Yes,,,,,
10202,06/08/2019,Rwanda,Strawberry Rhubarb,5," 7,653 ",38265.00,Slice,Pre-Order,Yes,,,,,
10203,06/08/2019,Sao Tome & Principe,Strawberry Rhubarb,5," 7,091 ",35455.00,Slice,In-Store,Yes,,,,,
10204,06/08/2019,Senegal,Strawberry Rhubarb,2," 6,943 ",13886.00,Whole,Pre-Order,Yes,,,,,
10205,06/08/2019,Seychelles,Strawberry Rhubarb,3," 2,547 ",7641.00,Whole,Pre-Order,Yes,,,,,
10206,06/08/2019,Sierra Leone,Pumpkin,2," 1,104 ",2208.00,Slice,In-Store,Yes,,,,,
10207,06/08/2019,Somalia,Pumpkin,2," 7,308 ",14616.00,Slice,In-Store,Yes,,,,,
10208,06/08/2019,South Africa,Pumpkin,5," 9,331 ",46655.00,Whole,Pre-Order,Yes,,,,,
10209,06/08/2019,South Sudan,Pumpkin,3," 8,209 ",24627.00,Whole,Pre-Order,Yes,,,,,
10210,06/08/2019,Sudan,Pumpkin,3," 5,797 ",17391.00,Whole,Pre-Order,Yes,,,,,
10211,01/05/2020,Tanzania,Fudge,4," 2,637 ",10548.00,Slice,Pre-Order,Yes,,,,,
10212,01/05/2020,Togo,Fudge,1," 8,194 ",8194.00,Slice,Pre-Order,Yes,,,,,
10213,01/05/2020,Tunisia,Fudge,2," 3,948 ",7896.00,Whole,In-Store,Yes,,,,,
10214,01/05/2020,Uganda,Fudge,5," 1,001 ",5005.00,Whole,Pre-Order,Yes,,,,,
10215,01/05/2020,Zambia,Fudge,2," 8,499 ",16998.00,Slice,In-Store,Yes,,,,,
10216,01/05/2020,Zimbabwe,Apple,5," 3,588 ",17940.00,Slice,Pre-Order,Yes,,,,,
10217,21/04/2021,Algeria,Pumpkin,2," 2,051 ",4102.00,Slice,Pre-Order,Yes,,,,,
10218,21/04/2021,Angola,Pumpkin,4," 1,964 ",7856.00,Slice,Pre-Order,Yes,,,,,
10219,21/11/2021,Benin,Pumpkin,2," 7,904 ",15808.00,Slice,In-Store,Yes,,,,,
10220,21/11/2021,Botswana,Pumpkin,1," 2,075 ",2075.00,Whole,In-Store,Yes,,,,,
10221,23/10/2019,Burkina Faso,Pumpkin,5," 2,718 ",13590.00,Whole,In-Store,Yes,,,,,
10222,23/10/2019,Burundi,Apple,2," 9,574 ",19148.00,Whole,Pre-Order,Yes,,,,,
10223,23/10/2019,Cabo Verde,Pumpkin,5," 3,248 ",16240.00,Whole,In-Store,Yes,,,,,
10224,23/10/2019,Cameroon,Apple,1," 4,293 ",4293.00,Slice,Pre-Order,Yes,,,,,
10225,02/03/2021,Central African Republic,Pumpkin,1," 5,199 ",5199.00,Whole,In-Store,Yes,,,,,
10226,02/03/2021,Chad,Pumpkin,3," 7,867 ",23601.00,Whole,Pre-Order,Yes,,,,,
10227,30/04/2021,Comoros,Apple,1," 2,230 ",2230.00,Slice,Pre-Order,Yes,,,,,
10228,23/07/2020,Congo,Blueberry,5," 9,298 ",46490.00,Slice,Pre-Order,Yes,,,,,
10229,23/07/2020,Côte d'Ivoire,Apple,1," 5,414 ",5414.00,Whole,In-Store,Yes,,,,,
10230,23/07/2020,Djibouti,Apple,4," 4,076 ",16304.00,Whole,In-Store,Yes,,,,,
10231,23/07/2020,DR Congo,Blueberry,4," 3,138 ",12552.00,Whole,Pre-Order,Yes,,,,,
10232,23/07/2020,Egypt,Other,2," 1,308 ",2616.00,Slice,Pre-Order,Yes,,,,,
10233,24/12/2020,Equatorial Guinea,Apple,2," 3,215 ",6430.00,Whole,In-Store,Yes,,,,,
10234,24/12/2020,Eritrea,Blueberry,1," 9,933 ",9933.00,Whole,In-Store,Yes,,,,,
10235,24/12/2020,Eswatini,Apple,1," 4,071 ",4071.00,Whole,In-Store,Yes,,,,,
10236,24/12/2020,Ethiopia,Strawberry Rhubarb,3," 4,025 ",12075.00,Whole,In-Store,Yes,,,,,
10237,24/12/2020,Gabon,Blueberry,1," 7,265 ",7265.00,Slice,Pre-Order,Yes,,,,,
10238,24/12/2020,Gambia,Apple,5," 3,257 ",16285.00,Slice,In-Store,Yes,,,,,
10239,24/12/2020,Ghana,Apple,3," 3,867 ",11601.00,Whole,In-Store,Yes,,,,,
10240,24/12/2020,Guinea,Apple,3," 8,580 ",25740.00,Slice,In-Store,Yes,,,,,
10241,24/12/2020,Guinea-Bissau,Apple,2," 9,055 ",18110.00,Whole,In-Store,Yes,,,,,
10242,24/12/2020,Kenya,Pumpkin,5," 8,199 ",40995.00,Slice,In-Store,Yes,,,,,
10243,24/12/2020,Lesotho,Pumpkin,3," 1,786 ",5358.00,Slice,Pre-Order,Yes,,,,,
10244,24/12/2020,Liberia,Apple,1," 9,861 ",9861.00,Slice,Pre-Order,Yes,,,,,
10245,24/12/2020,Libya,Apple,3," 3,271 ",9813.00,Whole,In-Store,Yes,,,,,
10246,24/12/2020,Madagascar,Fudge,1," 3,437 ",3437.00,Slice,In-Store,Yes,,,,,
10247,24/12/2020,Malawi,Other,2," 2,367 ",4734.00,Whole,In-Store,Yes,,,,,
10248,02/11/2021,Mali,Apple,3," 6,702 ",20106.00,Whole,In-Store,Yes,,,,,
10249,02/11/2021,Mauritania,Apple,4," 6,994 ",27976.00,Whole,In-Store,Yes,,,,,
10250,02/11/2021,Mauritius,Apple,5," 8,804 ",44020.00,Slice,Pre-Order,Yes,,,,,
