Order NO,Order Date,Countries,Pie Flavor,Quantity,Price,Amount Sold,Slice Or Whole Pie,Pre-Order/In-Store Purchase,Organic?,,,,,,,,,,,,,Pie Flavor,Quantity,,
10024,44338,Guinea,Fudge,4,5744,22976,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10025,44338,Guinea-Bissau,Apple,1,7620,7620,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10026,44338,Kenya,Fudge,1,2915,2915,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10027,44338,Lesotho,Pumpkin,2,9097,18194,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10028,44338,Liberia,Fudge,4,9855,39420,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10029,44338,Libya,Fudge,5,8368,41840,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10030,44338,Madagascar,Fudge,4,1531,6124,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10031,44338,Malawi,Fudge,4,5851,23404,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10032,44338,Mali,Pumpkin,5,4594,22970,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10033,44338,Mauritania,Blueberry,1,7071,7071,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10034,44501,Mauritius,Apple,3,1561,4683,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10035,44501,Morocco,Apple,5,5813,29065,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10036,44501,Mozambique,Apple,5,6500,32500,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10037,44501,Namibia,Apple,5,6248,31240,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10038,44501,Niger,Apple,4,4242,16968,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10039,44501,Nigeria,Apple,3,3270,9810,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10040,44501,Rwanda,Apple,3,2889,8667,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10041,44501,Sao Tome & Principe,Apple,3,4192,12576,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10042,44501,Senegal,Apple,4,7544,30176,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10043,44501,Seychelles,Cherry,4,1920,7680,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10044,44501,Sierra Leone,Fudge,4,4326,17304,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10045,44501,Somalia,Pumpkin,1,1972,1972,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10046,44501,South Africa,Strawberry Rhubarb,3,9221,27663,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10047,44153,South Sudan,Strawberry Rhubarb,1,8978,8978,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10048,44153,Sudan,Cherry,4,2920,11680,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10049,44153,Tanzania,Cherry,4,4667,18668,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10050,44153,Togo,Apple,4,8987,35948,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10051,44153,Tunisia,Cherry,3,3207,9621,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10052,44153,Uganda,Strawberry Rhubarb,1,2946,2946,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10053,44518,Zambia,Pumpkin,2,9527,19054,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10054,44518,Zimbabwe,Fudge,4,4974,19896,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10055,44518,Algeria,Pumpkin,5,9033,45165,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10056,44518,Angola,Pumpkin,3,6056,18168,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10057,44518,Benin,Blueberry,2,2448,4896,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10058,44518,Botswana,Fudge,3,4732,14196,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10059,44518,Burkina Faso,Fudge,1,7861,7861,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10060,44518,Burundi,Fudge,2,6919,13838,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10061,44518,Cabo Verde,Blueberry,4,4201,16804,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10062,44518,Cameroon,Pumpkin,1,3243,3243,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10063,44518,Central African Republic,Fudge,2,9697,19394,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10064,44518,Chad,Fudge,3,8543,25629,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10065,44518,Comoros,Apple,5,6205,31025,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10066,44518,Congo,Apple,1,4469,4469,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10067,44518,Côte d'Ivoire,Blueberry,3,4756,14268,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10068,44518,Djibouti,Apple,3,5773,17319,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10069,44378,DR Congo,Strawberry Rhubarb,2,6820,13640,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10070,44378,Egypt,Blueberry,1,2365,2365,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10071,44378,Equatorial Guinea,Apple,5,4706,23530,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10072,44378,Eritrea,Strawberry Rhubarb,4,5943,23772,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10073,44378,Eswatini,Other,2,3472,6944,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10074,44378,Ethiopia,Strawberry Rhubarb,5,8057,40285,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10075,44378,Gabon,Apple,5,4207,21035,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10076,44378,Gambia,Blueberry,5,5671,28355,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10077,44378,Ghana,Other,5,2956,14780,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10078,44464,Guinea,Apple,2,1718,3436,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10079,43869,Guinea-Bissau,Strawberry Rhubarb,1,9492,9492,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10080,43869,Kenya,Strawberry Rhubarb,2,4609,9218,Slice,Pre-Order,No,,,,,,,,,,,,,,,,
10081,43869,Lesotho,Strawberry Rhubarb,5,8293,41465,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10082,43869,Liberia,Strawberry Rhubarb,4,4620,18480,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10083,43869,Libya,Strawberry Rhubarb,5,9877,49385,Slice,Pre-Order,No,,,,,,,,,,,,,,,,
10084,43869,Madagascar,Strawberry Rhubarb,3,6595,19785,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10085,43869,Malawi,Strawberry Rhubarb,4,2823,11292,Slice,In-Store,No,,,,,,,,,,,,,,,,
10086,43869,Mali,Strawberry Rhubarb,5,3448,17240,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10087,43869,Mauritania,Strawberry Rhubarb,5,2859,14295,Whole,In-Store,No,,,,,,,,,,,,,,,,
10088,43869,Mauritius,Strawberry Rhubarb,2,8013,16026,Slice,Pre-Order,No,,,,,,,,,,,,,,,,
10089,43869,Morocco,Strawberry Rhubarb,4,2107,8428,Slice,In-Store,No,,,,,,,,,,,,,,,,
10090,44189,Mozambique,Apple,3,3371,10113,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10091,44189,Namibia,Apple,5,5855,29275,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10092,44189,Niger,Apple,3,1322,3966,Slice,In-Store,No,,,,,,,,,,,,,,,,
10093,44189,Nigeria,Apple,4,5667,22668,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10094,44189,Rwanda,Apple,1,2987,2987,Slice,Pre-Order,No,,,,,,,,,,,,,,,,
10095,44372,Sao Tome & Principe,Apple,1,1221,1221,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10096,44372,Senegal,Strawberry Rhubarb,3,6389,19167,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10097,44372,Seychelles,Apple,5,3446,17230,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10098,44372,Sierra Leone,Apple,2,3864,7728,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10099,44372,Somalia,Apple,3,8789,26367,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10100,44372,South Africa,Apple,3,2589,7767,Slice,In-Store,No,,,,,,,,,,,,,,,,
10101,44372,South Sudan,Apple,1,1234,1234,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10102,44372,Sudan,Apple,5,8800,44000,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10103,43784,Tanzania,Apple,4,5380,21520,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10104,43784,Togo,Strawberry Rhubarb,1,2956,2956,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10105,43784,Tunisia,Pumpkin,3,6973,20919,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10106,43784,Uganda,Apple,2,4082,8164,Whole,In-Store,No,,,,,,,,,,,,,,,,
10107,43784,Zambia,Pumpkin,5,8077,40385,Slice,Pre-Order,No,,,,,,,,,,,,,,,,
10108,43784,Zimbabwe,Pumpkin,5,2400,12000,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10109,43784,Algeria,Pumpkin,3,7344,22032,Whole,In-Store,No,,,,,,,,,,,,,,,,
10110,43784,Angola,Pumpkin,2,8789,17578,Whole,In-Store,No,,,,,,,,,,,,,,,,
10111,43784,Benin,Pumpkin,3,7397,22191,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10112,43931,Botswana,Cherry,5,2899,14495,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10113,44145,Burkina Faso,Apple,1,3377,3377,Whole,In-Store,No,,,,,,,,,,,,,,,,
10114,43931,Burundi,Cherry,1,7373,7373,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10115,43931,Cabo Verde,Cherry,2,5475,10950,Whole,In-Store,No,,,,,,,,,,,,,,,,
10116,44145,Cameroon,Apple,1,8351,8351,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10117,43931,Central African Republic,Cherry,3,1918,5754,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10118,43931,Chad,Cherry,2,2015,4030,Slice,In-Store,No,,,,,,,,,,,,,,,,
10119,43931,Comoros,Cherry,5,6024,30120,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10120,44145,Congo,Apple,1,6813,6813,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10121,43931,Côte d'Ivoire,Cherry,4,3399,13596,Slice,Pre-Order,No,,,,,,,,,,,,,,,,
10122,44145,Djibouti,Pumpkin,4,7801,31204,Slice,Pre-Order,No,,,,,,,,,,,,,,,,
10123,43931,DR Congo,Cherry,4,2547,10188,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10124,44324,Egypt,Fudge,2,2308,4616,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10125,44324,Equatorial Guinea,Apple,2,6492,12984,Slice,Pre-Order,No,,,,,,,,,,,,,,,,
10126,44324,Eritrea,Fudge,1,9820,9820,Whole,In-Store,No,,,,,,,,,,,,,,,,
10127,44324,Eswatini,Apple,2,5737,11474,Slice,In-Store,No,,,,,,,,,,,,,,,,
10128,44324,Ethiopia,Fudge,4,4853,19412,Whole,In-Store,No,,,,,,,,,,,,,,,,
10129,43875,Gabon,Apple,4,3286,13144,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10130,43875,Gambia,Strawberry Rhubarb,1,8586,8586,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10131,43875,Ghana,Strawberry Rhubarb,5,3009,15045,Slice,Pre-Order,No,,,,,,,,,,,,,,,,
10132,43875,Guinea,Strawberry Rhubarb,4,3878,15512,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10133,43875,Guinea-Bissau,Strawberry Rhubarb,1,1168,1168,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10134,43875,Kenya,Strawberry Rhubarb,2,6053,12106,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10135,43875,Lesotho,Strawberry Rhubarb,3,4446,13338,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10136,43875,Liberia,Strawberry Rhubarb,4,9026,36104,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10137,43875,Libya,Strawberry Rhubarb,2,4771,9542,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10138,43875,Madagascar,Strawberry Rhubarb,3,1874,5622,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10139,43875,Malawi,Strawberry Rhubarb,2,6412,12824,Slice,Pre-Order,No,,,,,,,,,,,,,,,,
10140,43875,Mali,Strawberry Rhubarb,2,4010,8020,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10141,43875,Mauritania,Strawberry Rhubarb,2,2333,4666,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10142,43875,Mauritius,Strawberry Rhubarb,5,2690,13450,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10143,44118,Morocco,Apple,4,6184,24736,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10144,44118,Mozambique,Apple,2,9173,18346,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10145,44118,Namibia,Apple,1,4922,4922,Slice,In-Store,No,,,,,,,,,,,,,,,,
10146,44118,Niger,Apple,3,7624,22872,Slice,In-Store,No,,,,,,,,,,,,,,,,
10147,44118,Nigeria,Apple,4,4386,17544,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10148,44118,Rwanda,Pumpkin,2,2126,4252,Slice,In-Store,No,,,,,,,,,,,,,,,,
10149,44118,Sao Tome & Principe,Pumpkin,5,8026,40130,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10150,44118,Senegal,Pumpkin,2,6984,13968,Slice,Pre-Order,No,,,,,,,,,,,,,,,,
10151,44118,Seychelles,Pumpkin,5,9506,47530,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10152,44118,Sierra Leone,Pumpkin,5,2996,14980,Slice,Pre-Order,No,,,,,,,,,,,,,,,,
10153,44118,Somalia,Pumpkin,2,6632,13264,Slice,Pre-Order,No,,,,,,,,,,,,,,,,
10154,44118,South Africa,Pumpkin,3,5391,16173,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10155,44118,South Sudan,Pumpkin,4,7491,29964,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10156,44372,Sudan,Cherry,3,9064,27192,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10157,44372,Tanzania,Apple,4,8818,35272,Slice,In-Store,No,,,,,,,,,,,,,,,,
10158,44372,Togo,Cherry,4,8119,32476,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10159,44372,Tunisia,Strawberry Rhubarb,2,1286,2572,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10160,44372,Uganda,Cherry,4,3565,14260,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10161,44372,Zambia,Cherry,2,1307,2614,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10162,44372,Zimbabwe,Cherry,5,1652,8260,Slice,Pre-Order,No,,,,,,,,,,,,,,,,
10163,44372,Algeria,Cherry,2,8105,16210,Slice,Pre-Order,No,,,,,,,,,,,,,,,,
10164,44372,Angola,Strawberry Rhubarb,5,9829,49145,Slice,In-Store,No,,,,,,,,,,,,,,,,
10165,44420,Benin,Apple,2,4790,9580,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10166,44420,Botswana,Apple,4,8155,32620,Whole,In-Store,No,,,,,,,,,,,,,,,,
10167,44420,Burkina Faso,Apple,2,3180,6360,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10168,44420,Burundi,Strawberry Rhubarb,2,5150,10300,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10169,44420,Cabo Verde,Cherry,5,6934,34670,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10170,44420,Cameroon,Apple,3,8695,26085,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10171,44420,Central African Republic,Strawberry Rhubarb,4,4882,19528,Slice,In-Store,No,,,,,,,,,,,,,,,,
10172,44420,Chad,Apple,4,2930,11720,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10173,44420,Comoros,Cherry,1,4517,4517,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10174,44420,Congo,Cherry,4,7085,28340,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10175,43806,Côte d'Ivoire,Apple,1,4878,4878,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10176,43806,Djibouti,Apple,4,5144,20576,Whole,In-Store,No,,,,,,,,,,,,,,,,
10177,43806,DR Congo,Pumpkin,5,7603,38015,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10178,43933,Egypt,Fudge,4,5159,20636,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10179,43933,Equatorial Guinea,Fudge,5,8152,40760,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10180,43933,Eritrea,Fudge,3,7274,21822,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10181,43933,Eswatini,Fudge,1,3242,3242,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10182,43933,Ethiopia,Fudge,4,1354,5416,Slice,In-Store,No,,,,,,,,,,,,,,,,
10183,43933,Gabon,Apple,3,8064,24192,Whole,In-Store,No,,,,,,,,,,,,,,,,
10184,43933,Gambia,Fudge,3,4306,12918,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10185,43933,Ghana,Blueberry,3,3965,11895,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10186,43933,Guinea,Apple,3,6523,19569,Whole,In-Store,No,,,,,,,,,,,,,,,,
10187,43933,Guinea-Bissau,Blueberry,1,4938,4938,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10188,43933,Kenya,Apple,5,2069,10345,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10189,44147,Lesotho,Pumpkin,1,6320,6320,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10190,44439,Liberia,Blueberry,1,7094,7094,Whole,In-Store,No,,,,,,,,,,,,,,,,
10191,44439,Libya,Blueberry,4,9617,38468,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10192,44439,Madagascar,Blueberry,3,8902,26706,Whole,In-Store,No,,,,,,,,,,,,,,,,
10193,44439,Malawi,Blueberry,2,2538,5076,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10194,44439,Mali,Blueberry,1,7984,7984,Slice,Pre-Order,No,,,,,,,,,,,,,,,,
10195,43683,Mauritania,Strawberry Rhubarb,2,3920,7840,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10196,43683,Mauritius,Strawberry Rhubarb,1,5755,5755,Whole,In-Store,No,,,,,,,,,,,,,,,,
10197,43683,Morocco,Strawberry Rhubarb,3,1503,4509,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10198,43683,Mozambique,Strawberry Rhubarb,5,8207,41035,Slice,Pre-Order,No,,,,,,,,,,,,,,,,
10199,43683,Namibia,Strawberry Rhubarb,3,7969,23907,Whole,Pre-Order,No,,,,,,,,,,,,,,,,
10200,43683,Niger,Strawberry Rhubarb,4,6922,27688,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10201,43683,Nigeria,Strawberry Rhubarb,3,7304,21912,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10202,43683,Rwanda,Strawberry Rhubarb,5,7653,38265,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10203,43683,Sao Tome & Principe,Strawberry Rhubarb,5,7091,35455,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10204,43683,Senegal,Strawberry Rhubarb,2,6943,13886,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10205,43683,Seychelles,Strawberry Rhubarb,3,2547,7641,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10206,43683,Sierra Leone,Pumpkin,2,1104,2208,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10207,43683,Somalia,Pumpkin,2,7308,14616,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10208,43683,South Africa,Pumpkin,5,9331,46655,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10209,43683,South Sudan,Pumpkin,3,8209,24627,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10210,43683,Sudan,Pumpkin,3,5797,17391,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10211,43952,Tanzania,Fudge,4,2637,10548,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10212,43952,Togo,Fudge,1,8194,8194,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10213,43952,Tunisia,Fudge,2,3948,7896,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10214,43952,Uganda,Fudge,5,1001,5005,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10215,43952,Zambia,Fudge,2,8499,16998,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10216,43952,Zimbabwe,Apple,5,3588,17940,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10217,44307,Algeria,Pumpkin,2,2051,4102,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10218,44307,Angola,Pumpkin,4,1964,7856,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10219,44521,Benin,Pumpkin,2,7904,15808,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10220,44521,Botswana,Pumpkin,1,2075,2075,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10221,43761,Burkina Faso,Pumpkin,5,2718,13590,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10222,43761,Burundi,Apple,2,9574,19148,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10223,43761,Cabo Verde,Pumpkin,5,3248,16240,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10224,43761,Cameroon,Apple,1,4293,4293,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10225,44257,Central African Republic,Pumpkin,1,5199,5199,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10226,44257,Chad,Pumpkin,3,7867,23601,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10227,44316,Comoros,Apple,1,2230,2230,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10228,44035,Congo,Blueberry,5,9298,46490,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10229,44035,Côte d'Ivoire,Apple,1,5414,5414,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10230,44035,Djibouti,Apple,4,4076,16304,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10231,44035,DR Congo,Blueberry,4,3138,12552,Whole,Pre-Order,Yes,,,,,,,,,,,,,,,,
10232,44035,Egypt,Other,2,1308,2616,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10233,44189,Equatorial Guinea,Apple,2,3215,6430,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10234,44189,Eritrea,Blueberry,1,9933,9933,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10235,44189,Eswatini,Apple,1,4071,4071,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10236,44189,Ethiopia,Strawberry Rhubarb,3,4025,12075,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10237,44189,Gabon,Blueberry,1,7265,7265,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10238,44189,Gambia,Apple,5,3257,16285,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10239,44189,Ghana,Apple,3,3867,11601,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10240,44189,Guinea,Apple,3,8580,25740,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10241,44189,Guinea-Bissau,Apple,2,9055,18110,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
10242,44189,Kenya,Pumpkin,5,8199,40995,Slice,In-Store,Yes,,,,,,,,,,,,,,,,
10243,44189,Lesotho,Pumpkin,3,1786,5358,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10244,44189,Liberia,Apple,1,9861,9861,Slice,Pre-Order,Yes,,,,,,,,,,,,,,,,
10245,44189,Libya,Apple,3,3271,9813,Whole,In-Store,Yes,,,,,,,,,,,,,,,,
