S/N,Date,Branch,Pizza Sold,Price,Quantity,Sales Discount,Time,Time Range
176,2021-08-26,Spain,BBQ Chicken,4000,2,0.07,12:46:04.800000,Before 9:00am
177,2022-06-19,France,Extravaganza,2000,1,0.05,12:53:16.800000,Before 9:00am
178,2021-11-06,Italy,Meatzaa,2000,2,0.0,17:00:57.600000,Before 9:00am
179,2021-02-03,France,Pepperoni Feast,4000,3,0.03,10:30:43.200000,Before 9:00am
180,2020-06-06,England,Hot Pepperoni Feast,4000,1,0.0,09:07:12,Before 9:00am
181,2021-06-20,Italy,BBQ Chicken,4000,3,0.05,14:26:52.800000,Before 9:00am
182,2021-02-18,Italy,BBQ Chicken,4000,4,0.03,10:32:09.600000,Before 9:00am
183,2020-10-13,France,Chicken Feast,2000,3,0.05,17:48:28.800000,Before 9:00am
184,2021-09-24,Germany,Beef Suya,3000,1,0.05,14:54:14.400000,Before 9:00am
185,2021-07-02,Germany,Extravaganza,2000,1,0.0,08:34:04.800000,Before 9:00am
186,2021-11-18,Germany,Pepperoni Feast,4000,2,0.03,11:11:02.400000,Before 9:00am
187,2020-08-14,England,Beef Suya,3000,4,0.03,16:59:31.200000,Before 9:00am
188,2020-03-12,Germany,Veggie Supreme,3000,3,0.0,13:27:50.400000,Before 9:00am
189,2020-03-24,England,Meatzaa,2000,5,0.0,17:34:04.800000,Before 9:00am
190,2020-03-28,England,Chicken Bali,2000,3,0.03,14:12:28.800000,Before 9:00am
191,2020-10-27,England,Pepperoni Suya,3000,1,0.0,12:56:09.600000,Before 9:00am
192,2020-04-09,France,Pepperoni Suya,3000,5,0.0,13:56:38.400000,Before 9:00am
193,2021-07-08,France,Veggie Supreme,3000,3,0.05,12:48:57.600000,Before 9:00am
194,2021-09-18,England,BBQ Philly Steak,4000,3,0.1,08:39:50.400000,Before 9:00am
195,2020-11-26,England,Margarita,4000,4,0.03,15:53:16.800000,Before 9:00am
196,2021-08-23,Spain,BBQ Chicken,4000,4,0.03,11:55:40.800000,Before 9:00am
197,2021-05-02,Spain,Beef Suya,3000,1,0.0,16:24:57.600000,Before 9:00am
198,2020-03-25,Italy,BBQ Chicken,4000,1,0.05,12:24:28.800000,Before 9:00am
199,2020-11-07,France,Beef Suya,3000,4,0.03,10:09:07.200000,Before 9:00am
200,2021-01-09,England,Pepperoni Feast,4000,3,0.0,15:00:00,Before 9:00am
201,2021-01-06,Spain,Hot Pepperoni Feast,4000,2,0.1,12:40:19.200000,Before 9:00am
202,2021-08-24,Germany,Hot Pepperoni Feast,4000,4,0.05,08:32:38.400000,Before 9:00am
203,2022-04-05,England,Pepperoni Feast,4000,3,0.03,12:02:52.800000,Before 9:00am
204,2020-03-27,Spain,Chicken Bali,2000,5,0.03,10:43:40.800000,Before 9:00am
205,2022-04-29,England,BBQ Chicken,4000,5,0.0,09:53:16.800000,Before 9:00am
206,2022-04-06,France,Chicken Legend,2000,2,0.1,17:09:36,Before 9:00am
207,2021-02-27,Italy,Hot Veggie,4000,5,0.05,13:16:19.200000,Before 9:00am
208,2020-06-23,Italy,BBQ Philly Steak,4000,4,0.07,11:41:16.800000,Before 9:00am
209,2022-06-09,Italy,Margarita,4000,4,0.0,11:02:24,Before 9:00am
210,2020-08-01,Italy,Meatzaa,2000,1,0.1,13:13:26.400000,Before 9:00am
211,2022-01-23,England,Extravaganza,2000,5,0.0,12:11:31.200000,Before 9:00am
212,2020-10-16,England,Meatzaa,2000,4,0.05,14:45:36,Before 9:00am
213,2020-10-28,England,BBQ Chicken,4000,2,0.0,08:02:24,Before 9:00am
214,2020-02-19,England,Veggie Supreme,3000,3,0.05,13:06:14.400000,Before 9:00am
215,2022-04-21,France,BBQ Chicken,4000,5,0.03,11:41:16.800000,Before 9:00am
216,2022-03-30,France,BBQ Philly Steak,4000,2,0.0,17:22:33.600000,Before 9:00am
217,2021-08-23,France,Margarita,4000,1,0.0,12:47:31.200000,Before 9:00am
218,2020-07-24,Italy,Hot Veggie,4000,5,0.0,10:10:33.600000,Before 9:00am
219,2022-02-28,England,Chicken Legend,2000,5,0.03,14:44:09.600000,Before 9:00am
220,2020-01-07,France,Hot Veggie,4000,3,0.0,14:49:55.200000,Before 9:00am
221,2022-03-08,France,Chicken Legend,2000,5,0.07,16:00:28.800000,Before 9:00am
222,2020-06-01,Germany,Veggie Supreme,3000,4,0.0,10:01:55.200000,Before 9:00am
223,2021-12-13,France,Pepperoni Suya,3000,3,0.1,15:41:45.600000,Before 9:00am
224,2021-05-10,Germany,Meatzaa,2000,4,0.0,11:39:50.400000,Before 9:00am
225,2020-12-19,England,Chicken Bali,2000,2,0.0,08:22:33.600000,Before 9:00am
226,2021-08-13,Italy,Veggie Supreme,3000,3,0.0,16:55:12,Before 9:00am
227,2020-07-30,Spain,Hot Pepperoni Feast,4000,5,0.0,13:14:52.800000,Before 9:00am
228,2020-08-02,Spain,BBQ Philly Steak,4000,5,0.05,17:57:07.200000,Before 9:00am
229,2022-01-29,England,Margarita,4000,2,0.03,08:41:16.800000,Before 9:00am
230,2020-10-11,France,Chicken Legend,2000,3,0.0,16:43:40.800000,Before 9:00am
231,2020-09-29,Italy,BBQ Chicken,4000,3,0.0,09:07:12,Before 9:00am
232,2021-09-08,Spain,Hot Veggie,4000,1,0.0,17:00:57.600000,Before 9:00am
233,2022-04-25,England,Hot Veggie,4000,3,0.1,14:54:14.400000,Before 9:00am
234,2020-09-12,Spain,Chicken Suya,4000,1,0.05,14:03:50.400000,Before 9:00am
235,2020-06-21,Germany,Pepperoni Feast,4000,3,0.05,13:52:19.200000,Before 9:00am
236,2021-04-16,France,Hot Pepperoni Feast,4000,3,0.0,17:13:55.200000,Before 9:00am
237,2022-05-18,England,Extravaganza,2000,4,0.03,16:20:38.400000,Before 9:00am
238,2020-05-06,France,Meatzaa,2000,1,0.1,17:29:45.600000,Before 9:00am
239,2021-04-16,England,Veggie Supreme,3000,4,0.07,08:05:16.800000,Before 9:00am
240,2021-01-09,Italy,Hot Pepperoni Feast,4000,4,0.1,09:10:04.800000,Before 9:00am
241,2021-07-28,France,Extravaganza,2000,1,0.05,13:56:38.400000,Before 9:00am
242,2022-04-29,France,BBQ Chicken,4000,5,0.03,11:29:45.600000,Before 9:00am
243,2021-03-20,England,Extravaganza,2000,3,0.03,13:40:48,Before 9:00am
244,2020-01-10,England,Meatzaa,2000,1,0.0,12:11:31.200000,Before 9:00am
245,2020-07-19,Germany,Hot Pepperoni Feast,4000,3,0.03,15:25:55.200000,Before 9:00am
246,2021-11-05,Spain,Beef Suya,3000,5,0.07,12:56:09.600000,Before 9:00am
247,2020-06-04,Germany,Margarita,4000,3,0.0,17:21:07.200000,Before 9:00am
248,2021-08-20,England,Hot Pepperoni Feast,4000,1,0.05,13:33:36,Before 9:00am
249,2021-02-04,France,Chicken Bali,2000,4,0.05,15:04:19.200000,Before 9:00am
250,2022-06-24,France,Meatzaa,2000,2,0.05,17:25:26.400000,Before 9:00am
251,2020-06-13,France,BBQ Philly Steak,4000,2,0.05,13:10:33.600000,Before 9:00am
252,2021-02-15,Spain,Pepperoni Feast,4000,2,0.0,14:25:26.400000,Before 9:00am
253,2020-06-12,England,Chicken Feast,2000,5,0.05,10:09:07.200000,Before 9:00am
254,2021-07-02,Italy,Veggie Supreme,3000,5,0.0,14:02:24,Before 9:00am
255,2021-06-20,France,Pepperoni Feast,4000,4,0.0,15:48:57.600000,Before 9:00am
256,2020-06-23,Spain,Extravaganza,2000,1,0.1,15:01:26.400000,Before 9:00am
257,2022-01-21,Spain,Chicken Bali,2000,5,0.05,17:49:55.200000,Before 9:00am
258,2021-06-30,Spain,Meatzaa,2000,3,0.07,13:00:28.800000,Before 9:00am
259,2021-09-21,Italy,Pepperoni Feast,4000,4,0.03,17:00:57.600000,Before 9:00am
260,2021-06-15,Italy,Veggie Supreme,3000,1,0.0,12:34:33.600000,Before 9:00am
261,2020-11-23,England,Hot Veggie,4000,1,0.03,09:17:16.800000,Before 9:00am
262,2021-06-01,England,Italiano,3000,4,0.0,14:36:57.600000,Before 9:00am
263,2020-11-29,Spain,Italiano,3000,3,0.03,16:49:26.400000,Before 9:00am
264,2020-11-02,England,Chicken Legend,2000,3,0.03,16:37:55.200000,Before 9:00am
265,2021-07-24,Spain,Meatzaa,2000,4,0.0,17:06:43.200000,Before 9:00am
266,2020-01-08,France,BBQ Chicken,4000,1,0.05,09:28:48,Before 9:00am
267,2020-12-02,France,BBQ Philly Steak,4000,1,0.0,16:06:14.400000,Before 9:00am
268,2020-01-22,Germany,Chicken Suya,4000,2,0.1,16:13:26.400000,Before 9:00am
269,2021-06-05,Germany,Veggie Supreme,3000,4,0.0,08:35:31.200000,Before 9:00am
270,2020-10-29,Spain,Chicken Bali,2000,1,0.03,12:51:50.400000,Before 9:00am
271,2022-05-28,France,Chicken Suya,4000,4,0.1,08:55:40.800000,Before 9:00am
272,2020-01-11,Germany,Chicken Legend,2000,5,0.07,11:28:19.200000,Before 9:00am
273,2021-12-17,Spain,Pepperoni Suya,3000,2,0.0,13:01:55.200000,Before 9:00am
274,2022-01-18,Italy,Hot Veggie,4000,2,0.03,14:03:50.400000,Before 9:00am
275,2021-03-01,Germany,BBQ Chicken,4000,5,0.1,17:03:50.400000,Before 9:00am
276,2021-07-01,Italy,BBQ Chicken,4000,3,0.03,12:50:24,Before 9:00am
277,2022-01-19,France,Meatzaa,2000,1,0.0,09:57:36,Before 9:00am
278,2021-12-19,Italy,Chicken Feast,2000,2,0.05,14:54:14.400000,Before 9:00am
279,2021-02-14,France,Beef Suya,3000,5,0.0,09:01:26.400000,Before 9:00am
280,2022-02-23,Germany,Hot Veggie,4000,2,0.0,11:45:36,Before 9:00am
281,2020-10-14,Spain,Extravaganza,2000,5,0.03,17:55:40.800000,Before 9:00am
282,2020-05-07,Italy,Pepperoni Feast,4000,4,0.03,15:57:36,Before 9:00am
283,2021-01-15,Italy,Pepperoni Suya,3000,2,0.0,16:48:00,Before 9:00am
284,2022-01-29,England,Pepperoni Feast,4000,1,0.05,16:59:31.200000,Before 9:00am
285,2021-07-06,Germany,Veggie Supreme,3000,2,0.0,12:33:07.200000,Before 9:00am
286,2022-01-19,England,Chicken Suya,4000,3,0.07,16:58:04.800000,Before 9:00am
287,2021-07-07,France,Hot Pepperoni Feast,4000,3,0.07,10:03:21.600000,Before 9:00am
288,2020-10-27,England,Chicken Suya,4000,4,0.0,10:01:55.200000,Before 9:00am
289,2020-08-21,France,Italiano,3000,4,0.07,16:58:04.800000,Before 9:00am
290,2020-08-09,Spain,Hot Veggie,4000,2,0.07,12:12:57.600000,Before 9:00am
291,2021-03-25,France,Chicken Legend,2000,5,0.03,17:03:50.400000,Before 9:00am
292,2021-11-25,France,Extravaganza,2000,3,0.05,13:13:26.400000,Before 9:00am
293,2021-10-15,Italy,Pepperoni Suya,3000,1,0.1,12:37:26.400000,Before 9:00am
294,2021-10-21,England,Chicken Legend,2000,5,0.03,08:00:57.600000,Before 9:00am
295,2021-10-15,Spain,Beef Suya,3000,4,0.05,17:39:50.400000,Before 9:00am
296,2022-02-13,Italy,Meatzaa,2000,3,0.0,15:12:57.600000,Before 9:00am
297,2021-04-26,Spain,Chicken Bali,2000,1,0.07,09:36:00,Before 9:00am
298,2020-11-22,Germany,Margarita,4000,4,0.0,10:22:04.800000,Before 9:00am
299,2020-10-05,Italy,Pepperoni Suya,3000,3,0.0,11:44:09.600000,Before 9:00am
300,2021-04-01,Spain,Meatzaa,2000,3,0.0,14:00:57.600000,Before 9:00am
301,2022-05-10,Spain,Veggie Supreme,3000,5,0.0,11:39:50.400000,Before 9:00am
